fecha,referencia,PC1
24/01/2017,LN2_SB,-0.23635179224015765
24/01/2017,LN2_CB,-0.3248234956469918
07/02/2017,LN2_SB,-0.23556789997043623
07/02/2017,LN2_CB,-0.3184172036496134
21/02/2017,LN2_SB,-0.23998743052558974
21/02/2017,LN2_CB,-0.33264890296024524
07/03/2017,LN2_SB,-0.028863617675275597
07/03/2017,LN2_CB,-0.3543410942171913
21/03/2017,LN2_SB,-0.026593033169875598
21/03/2017,LN2_CB,-0.2815066900529033
28/03/2017,LN1_P1,10.123487352094296
28/03/2017,LN1_P2,5.095764518708671
18/04/2017,LN1,10.50191810299429
18/04/2017,LN2_CB,-0.3720597625896874
18/04/2017,LN2_SB,-0.3405418871933023
02/05/2017,LN2_SB,-0.23382441543950416
02/05/2017,LN2_CB,-0.26062542183360005
17/05/2017,LN2_SB,-0.05820551625398579
17/05/2017,LN2_CB,-0.26492331393310714
20/06/2017,LN2_SB,-0.03085037911750054
20/06/2017,LN2_CB,-0.13618928170730585
05/07/2017,LN2_SB,-0.12088986706377752
05/07/2017,LN2_CB,-0.22407982360382933
18/07/2017,LN1,-0.3823179390158694
18/07/2017,LN2_SB,-0.16294974194951967
18/07/2017,LN2_CB,9.50177968990145
07/08/2017,LN2_SB,-0.2449475764391718
07/08/2017,LN2_CB,-0.2994956661046137
15/08/2017,LN2_SB,-0.04975840127853951
15/08/2017,LN2_CB,-0.19619758649287622
05/09/2017,LN2_CB,-0.2958329970512602
05/09/2017,LN2_SB,-0.3047126043134493
19/09/2017,LN2_CB,-0.30995657329020637
19/09/2017,LN2_SB,-0.2797632055219712
03/10/2017,LN2_SB,-0.24590716870038248
03/10/2017,LN2_CB,-0.256705960484993
17/10/2017,LN1,-0.36780241664206254
17/10/2017,LN2_SB,-0.2079154243868153
17/10/2017,LN2_CB,-0.26166610639857507
07/11/2017,LN2_SB,-0.24555576871740392
07/11/2017,LN2_CB,-0.26893738296943925
21/11/2017,LN2_CB,-0.23644639992788266
21/11/2017,LN2_SB,-0.1582869344830733
05/12/2017,LN2_CB,0.20643921708075605
05/12/2017,LN2_SB,0.10070836835609004
19/12/2017,LN2_SB,0.17516461859566373
19/12/2017,LN2_CB,-0.04825819365890024
09/01/2018,LN1,-0.3900081924895157
09/01/2018,LN2_SB,-0.09719739898064579
09/01/2018,LN2_CB,0.14439008931711783
23/01/2018,LN2_CB,-0.3302566799991989
23/01/2018,LN2_SB,-0.28743994361165676
06/02/2018,LN2_SB,-0.1363379509308737
06/02/2018,LN2_CB,-0.23662209991937197
20/02/2018,LN2_SB,-0.18716931000711923
20/02/2018,LN2_CB,-0.3074427118735136
06/03/2018,LN2_SB,-0.20507719375506536
06/03/2018,LN2_CB,-0.30673991190755645
20/03/2018,LN2_SB,-0.280195697808714
20/03/2018,LN2_CB,-0.28873742047188533
03/04/2018,LN1,-0.38180435442536226
03/04/2018,LN2_SB,-0.333324672158281
03/04/2018,LN2_CB,-0.3032394274617315
17/04/2018,LN1,-0.3350816720731738
17/04/2018,LN2_CB,-0.2965087662492959
17/04/2018,LN2_SB,-0.2983333430839923
